task,status,pos,start,end,duration,client
 Shaping your evidence around your argument.,active,7thWeek_c,1/19/2018,1/22/2018,3,Exercise
 Writing up evidence in the social sciences.,active,7thWeek_2,1/19/2018,1/20/2018,1,Instruction
  Writing up evidence in the humanities.,active,7thWeek_3,1/20/2018,1/22/2018,2,Instruction
 Revising your title.,active,8thWeek_a,1/22/2018,1/23/2018,1,Exercise
 Revising your evidence.,active,7thWeek_4,1/22/2018,1/25/2018,3,Instruction
 Revising your introduction. ,active,8thWeek_b,1/23/2018,1/24/2018,1,Exercise
"  Revisiting your abstract, related literature review, and author order.",active,8thWeek_c,1/24/2018,1/25/2018,1,Exercise
Opening and Concluding Your Article,"crit, active",8thWeek_0,1/25/2018,2/1/2018,7,Admin
 Revising your conclusion.,active,8thWeek_d,1/25/2018,1/26/2018,1,Exercise
 On the importance of openings.,active,8thWeek_1,1/25/2018,1/27/2018,2,Instruction
 Sharing your article and getting feedback.,active,9thWeek_a,1/26/2018,1/27/2018,1,Exercise
 Making a list of remaining tasks.,active,9thWeek_b,1/27/2018,1/28/2018,1,Exercise
 Revising your opening and conclusion.,active,8thWeek_2,1/27/2018,1/29/2018,2,Instruction
 Revising your article according to feedback.,active,9thWeek_c,1/28/2018,1/29/2018,1,Exercise
 Running the Belcher diagnostic test.,active,10thWeek_a,1/29/2018,1/31/2018,2,Exercise
 Types of feedback.,active,9thWeek_1,1/29/2018,1/31/2018,2,Instruction
 Revising your article with the diagnostic test.,active,10thWeek_b,1/31/2018,2/3/2018,3,Exercise
 Exchanging your articles.,active,9thWeek_2,1/31/2018,2/2/2018,2,Instruction
"Giving, Getting, and Using Others' Feedback","crit, active",9thWeek_0,2/1/2018,2/8/2018,7,Admin
 On taking the time.,active,10thWeek_1,2/2/2018,2/3/2018,1,Instruction
 Correcting other types of problem sentences.,active,10thWeek_c,2/3/2018,2/5/2018,2,Exercise
 Types of revising.,active,10thWeek_2,2/3/2018,2/4/2018,1,Instruction
 The rules of editing.,active,10thWeek_3,2/4/2018,2/5/2018,1,Instruction
 Running the Belcher diagnostic test.,active,11thWeek_a,2/5/2018,2/7/2018,2,Exercise
 The Belcher diagnostic test.,active,10thWeek_4,2/5/2018,2/7/2018,2,Instruction
 Revising your article with the diagnostic test.,active,11thWeek_b,2/7/2018,2/10/2018,3,Exercise
 Editing your article.,active,10thWeek_5,2/7/2018,2/9/2018,2,Instruction
Editing Your Sentences,"crit, active",10thWeek_0,2/8/2018,2/15/2018,7,Admin
 On the perils of perfection.,active,11thWeek_1,2/9/2018,2/10/2018,1,Instruction
 Correcting other types of problem sentences.,active,11thWeek_c,2/10/2018,2/12/2018,2,Exercise
 Finalizing your article.,active,11thWeek_2,2/10/2018,2/12/2018,2,Instruction
 Writing the cover letter.,active,12thWeek_a,2/12/2018,2/13/2018,1,Exercise
 The rules of editing.,active,11thWeek_3,2/12/2018,2/13/2018,1,Instruction
 Preparing illustrations.,active,12thWeek_b,2/13/2018,2/15/2018,2,Exercise
 The Belcher diagnostic test.,active,11thWeek_4,2/13/2018,2/15/2018,2,Instruction
Wrapping up Your Article,"crit, active",11thWeek_0,2/15/2018,2/22/2018,7,Admin
 Putting your article into the journal's style.,active,12thWeek_c,2/15/2018,2/16/2018,1,Exercise
 Editing your article.,active,11thWeek_5,2/15/2018,2/16/2018,1,Instruction
 Preparing the final print or electronic version.,active,12thWeek_d,2/16/2018,2/18/2018,2,Exercise
 On the importance of finishing.,active,12thWeek_1,2/16/2018,2/18/2018,2,Instruction
 Send and celebrate!,active,12thWeek_e,2/18/2018,2/19/2018,1,Exercise
 Getting the submission ready.,active,12thWeek_2,2/18/2018,2/23/2018,5,Instruction
 Evaluating and responding to the journal decision.,active,XthWeek_a,2/19/2018,2/26/2018,7,Exercise
Sending Your Article,"crit, active",12thWeek_0,2/22/2018,3/1/2018,7,Admin
 An exhortation.,active,XthWeek_1,2/23/2018,2/24/2018,1,Instruction
 Waiting for the journal's decision.,active,XthWeek_2,2/24/2018,8/23/2018,180,Instruction
 Planning your revision.,active,XthWeek_b,2/26/2018,2/28/2018,2,Exercise
  Revising your article. ,active,XthWeek_c,2/28/2018,3/7/2018,7,Exercise
Responding to Journal Decisions,"crit, active",XthWeek_0,3/1/2018,8/28/2018,180,Admin
  Drafting your revision cover letter.,active,XthWeek_d,3/7/2018,3/9/2018,2,Exercise
  Requesting permissions.,active,XthWeek_e,3/9/2018,3/12/2018,3,Exercise
 On the importance of persevering.,active,XthWeek_f,3/12/2018,3/13/2018,1,Exercise
  Reading the journal's decision.,active,XthWeek_3,10/17/2018,10/19/2018,2,Instruction
  Types of journal decisions.,active,XthWeek_4,10/19/2018,10/22/2018,3,Instruction
 Responding to journal decisions.,active,XthWeek_5,10/22/2018,10/26/2018,4,Instruction
